Period,Mean_Return,Variance,Target_Return
49,0.0145134,0.0167506,0.03
50,0.0272899,0.0158721,0.03

1,0.050999,0.00887764,0.035
2,-0.00809828,0.00695188,0.035
3,-0.00547708,0.00326494,0.035
4,0.00984677,0.0105606,0.035
5,0.06289,0.0128551,0.035
6,0.042945,0.018893,0.035
7,-0.00752046,0.0110238,0.035
8,-0.000433716,0.0298952,0.035
9,-0.0223401,0.0149827,0.035
10,-0.00524746,0.0141756,0.035
11,0.0688108,0.0332581,0.035
12,-0.000943691,0.0440686,0.035
13,-0.0421599,0.018522,0.035
14,0.034983,0.0187194,0.035
15,0.0431784,0.0203474,0.035
16,0.0203081,0.0128192,0.035
17,0.0124239,0.0280267,0.035
18,-0.0200405,0.101245,0.035
19,-0.0970121,0.171887,0.035
20,-0.0102259,0.0916245,0.035
21,0.0226489,0.187764,0.035
22,-0.0172257,0.0276342,0.035
23,-0.0758309,0.0264555,0.035
24,-0.0168713,0.0210852,0.035
25,-0.00446853,0.0205067,0.035
26,0.00823007,0.0120745,0.035
27,-0.0289568,0.0118493,0.035
28,-0.0392914,0.00523287,0.035
29,0.00581119,0.00465482,0.035
30,-0.0339276,0.0100104,0.035
31,0.0084304,0.0217303,0.035
32,-0.0618217,0.0451507,0.035
33,0.0555132,0.0134676,0.035
34,0.0352507,0.022919,0.035
35,0.0401529,0.00731,0.035
36,-0.0271043,0.00462967,0.035
37,0.00108821,0.00689664,0.035
38,0.0377578,0.0176327,0.035
39,-0.0272917,0.0213847,0.035
40,0.00932378,0.010678,0.035
41,0.0349924,0.00683321,0.035
42,0.0708018,0.00634724,0.035
43,0.0109386,0.0213631,0.035
44,-0.00384603,0.0104333,0.035
45,0.0269071,0.0112447,0.035
46,0.0285741,0.00902646,0.035
47,-0.0737439,0.0196081,0.035
48,0.00862614,0.0127067,0.035
49,0.0167825,0.0234163,0.035
50,0.0306892,0.0208883,0.035

1,0.0582933,0.0112128,0.04
2,-0.00998343,0.00992186,0.04
3,-0.00805012,0.00462459,0.04
4,0.0109238,0.0144393,0.04
5,0.070336,0.0166882,0.04
6,0.0507302,0.025502,0.04
7,-0.00796398,0.0149011,0.04
8,-0.000167706,0.0377414,0.04
9,-0.0278498,0.0204777,0.04
10,-0.00716222,0.0192995,0.04
11,0.0778678,0.043379,0.04
12,-3.73855e-05,0.0581928,0.04
13,-0.0503202,0.0237806,0.04
14,0.0405173,0.023702,0.04
15,0.0486766,0.0262718,0.04
16,0.0211812,0.0175066,0.04
